SampleID_old,DatabaseCode,SampleID,StationCode,SampleDate,SampleDate,Replicate,S2,S2QCmin,D18,D18QCmin,H20,H20QCmin,SoftAlgaeSampleTypesPresent,QualPresent,DiatomSamplePresent,totalDiatomCount,EntityCount,DiatomCountFlag,SoftAlgaeEntityCountFlag,numberPurged,purgedTaxa,propAchMin,QCsedtolPropValvesWithTraits,RAWsedtolhigh,QChaloPropValvesWithTraits,RAWhalo,QCsaprobityPropValvesWithTraits,RAWsapro,QCDOPropValvesWithTraits,RAWDO50,RAWDO100,QCTrophicStatePropValvesWithTraits,RAWeutro,QCNhetPropValvesWithTraits,RAWNhet,QCPtraitPropValvesWithTraits,RAWlowP,QCNtraitPropValvesWithTraits,RAWlowN,QCMotilityPropValvesWithTraits,RAWhighlymot,SCALEDAchMin,SCALEDsedtolhigh,SCALEDhalo,SCALEDsapro,SCALEDDO50,SCALEDDO100,SCALEDeutro,SCALEDNhet,SCALEDlowP,SCALEDlowN,SCALEDhighlymot,highDOCbRAW,highDOCbQCpropBiovolWithTraits,highDOCbQCpropTaxaWithTraits,nonrefbRAW,nonrefbQCpropBiovolWithTraits,nonrefbQCpropTaxaWithTraits,propBiovolChlorRAW,propBiovolChlorQCpropBiovolWithTraits,propBiovolChlorQCpropTaxaWithTraits,highCuspRAW,highCuspQCpropBiovolWithTraits,highCuspQCpropTaxaWithTraits,highDOCspRAW,highDOCspQCpropBiovolWithTraits,highDOCspQCpropTaxaWithTraits,nonrefspRAW,nonrefspQCpropBiovolWithTraits,nonrefspQCpropTaxaWithTraits,lowTPspRAW,lowTPspQCpropBiovolWithTraits,lowTPspQCpropTaxaWithTraits,propBiovolZHRRAW,propBiovolZHRQCpropBiovolWithTraits,propBiovolZHRQCpropTaxaWithTraits,propTaxaZHRspRAW,meanZHRRAW,totalBiovolGreenRAW,totalBiovolCRUSRAW,propGreenCRUSRAW,totalBiovolCRUSQCpropBiovolWithTraits,totalBiovolCRUSQCpropTaxaWithTraits,SCALEDhighCusp,SCALEDhighDOCsp,SCALEDlowTPsp,SCALEDmeanZHR,SCALEDnonrefsp,SCALEDhighDOCb,SCALEDnonrefb,SCALEDpropBiovolZHR,SCALEDpropBiovolChlor,SCALEDpropGreenCRUS
TJKT2_1.10.08_1,Betty,TJKT2_01102008_1,TJKT2,1/10/08,1.10.08,1,90,0.882352941,72,0.861666667,78,0.861666667,Microalgae_Qualitative,Yes,Yes,600,300,Adequate,Adequate,0,,0,1,0.075,0.961666667,0.145580589,0.861666667,0.711798839,0.861666667,0.988394584,0.067698259,0.876666667,0.819391635,0.861666667,0.040618956,0.921666667,0.155515371,0.861666667,0.18762089,1,0.063333333,0,9,7,7,9,1,2,9,2,3,9,0.00019255,0.970650377,0.882352941,0.0000524,0.970650377,0.882352941,0.03546418,1,1,0,0.970650377,0.882352941,0.2,0.970650377,0.882352941,0.066666667,0.970650377,0.882352941,0.2,0.970650377,0.882352941,0.958793351,1,1,0.176470588,0.56763197,0.96144325,0,0,1,1,10,8,7,9,10,10,10,10,9,10
DGSY1_1.19.08_1,Betty,DGSY1_01192008_1,DGSY1,1/19/08,1.19.08,1,70,0.888888889,66,0.839228296,66,0.839228296,Microalgae_Qualitative,Yes,Yes,622,300,Adequate,Adequate,0,,0.02733119,1,0.053054662,0.966237942,0.171381032,0.874598071,0.551470588,0.839228296,0.950191571,0.095785441,0.872990354,0.891344383,0.840836013,0.059273423,0.914790997,0.073813708,0.864951768,0.089219331,1,0.051446945,1,9,7,5,8,2,1,8,1,1,9,0.353139804,0.993082323,0.888888889,0.012380251,0.993082323,0.888888889,0.006917677,1,1,0,0.993082323,0.888888889,0.375,0.993082323,0.888888889,0.125,0.993082323,0.888888889,0.125,0.993082323,0.888888889,0.306002834,1,1,0.222222222,0.264112528,0.006917677,0,0,1,1,10,6,4,4,8,6,9,3,9,10
TJKT2_1.20.08_1,Betty,TJKT2_01202008_1,TJKT2,1/20/08,1.20.08,1,73,0.833333333,72,0.908333333,70,0.833333333,Epiphyte_Macroalgae_Microalgae_Qualitative,Yes,Yes,600,300,Adequate,Adequate,0,,0.008333333,1,0.031666667,0.976666667,0.083617747,0.908333333,0.658715596,0.908333333,0.987155963,0.067889908,0.915,0.883424408,0.908333333,0.014678899,0.908333333,0.069724771,0.925,0.126126126,1,0.031666667,1,9,8,6,9,1,1,9,1,2,9,0.298919757,0.99974752,0.833333333,0.00000285,0.99974752,0.833333333,0.000365661,1,1,0.133333333,0.99974752,0.833333333,0.333333333,0.99974752,0.833333333,0.133333333,0.99974752,0.833333333,0.2,0.99974752,0.833333333,0.667472413,1,1,0.166666667,0.41706954,0.335797734,0,0,0.999993837,0.961538462,6,6,7,7,8,7,10,7,10,10
DGSY1_1.9.08_1,Betty,DGSY1_01092008_1,DGSY1,1/9/08,1.9.08,1,40,1,62,0.751666667,52,0.751666667,Microalgae,No,Yes,600,300,Adequate,Adequate,0,,0.008333333,1,0.06,0.97,0.283505155,0.768333333,0.672451193,0.751666667,0.884700665,0.084257206,0.766666667,0.804347826,0.765,0.030501089,0.893333333,0.065298507,0.733333333,0.081818182,1,0.058333333,1,9,5,6,7,1,3,9,1,1,9,0.629862903,1,1,0.01512903,1,1,0,1,1,0,1,1,0.666666667,1,1,0.333333333,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,10,1,0,0,3,4,9,0,10,10
106MNCAHC_10.1.08_1,SWAMP,106MNCAHC_10012008_1,106MNCAHC,10/1/08,10.1.08,1,38,0.259298078,84,0.854037267,54,0.259298078,Microalgae,No,Yes,644,12,Adequate,Inadequate,0,,0.170807453,0.99689441,0.010903427,0.888198758,0.048951049,0.888198758,0.874125874,0.888198758,0.961538462,0.229020979,0.883540373,0.729349736,0.885093168,0.007017544,0.854037267,0.261818182,0.942546584,0.240527183,0.99689441,0.010903427,6,10,9,9,9,4,4,10,4,3,10,0.268845707,0.259298078,0.75,0.040320993,0.259298078,0.75,0,1,1,0.333333333,0.259298078,0.75,0.666666667,0.259298078,0.75,0.333333333,0.259298078,0.75,0,0.259298078,0.75,0.740701922,1,1,0.25,0.495350961,0,0,0,1,1,1,1,0,8,3,7,9,8,10,10
106MNCAHC_10.1.08_2,SWAMP,106MNCAHC_10012008_2,106MNCAHC,10/1/08,10.1.08,2,37,0.402997748,86,0.96,56,0.402997748,Microalgae,No,Yes,600,7,Adequate,Inadequate,0,,0.073333333,1,0.006666667,0.966666667,0.010344828,0.966666667,0.927586207,0.96,1,0.079861111,0.96,0.777777778,0.96,0.003472222,0.97,0.23024055,0.97,0.23024055,1,0.006666667,3,10,10,9,10,1,3,10,3,3,10,0.297411835,0.402997748,0.75,0.055449777,0.402997748,0.75,0,1,1,0.333333333,0.402997748,0.75,0.666666667,0.402997748,0.75,0.333333333,0.402997748,0.75,0,0.402997748,0.75,0.597002252,1,1,0.25,0.423501126,0,0,0,1,1,1,1,0,7,3,7,9,6,10,10
633WIL001_10.1.09_1,SWAMP,633WIL001_10012009_1,633WIL001,10/1/09,10.1.09,1,58,0.857142857,76,0.545,69,0.545,Microalgae,No,Yes,600,300,Adequate,Adequate,0,,0.006666667,1,0.211666667,0.851666667,0.015655577,0.851666667,0.835616438,0.82,0.957317073,0.735772358,0.831666667,0.218436874,0.8,0.025,0.545,0.357798165,0.65,0.617948718,1,0.025,1,6,9,8,9,10,10,9,5,8,9,0.062212683,0.978061119,0.857142857,0.062212683,0.978061119,0.857142857,0,1,1,0.166666667,0.978061119,0.857142857,0.166666667,0.978061119,0.857142857,0.166666667,0.978061119,0.857142857,0,0.978061119,0.857142857,0.34449476,1,1,0.142857143,0.243675952,0,0,0,1,1,5,9,0,4,7,9,9,4,10,10
634UTR007_10.1.1999_1,SWAMP,634UTR007_10011999_1,634UTR007,10/1/99,10.1.1999,1,,,NA,0,NA,NA,,No,No,0,,Inadequate,Data missing,1,Gomphoneis exigua,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111ERATRC_10.10.12_1,SWAMP,111ERATRC_10102012_1,111ERATRC,10/10/12,10.10.12,1,82,0.866666667,94,0.789297659,85,0.789297659,Epiphyte_Macroalgae_Microalgae_Qualitative,Yes,Yes,598,300,Adequate,Adequate,1,Achnanthidium rivulare,0.443143813,0.906354515,0.075645756,0.862876254,0.021317829,0.862876254,0.980620155,0.81270903,1,0.582304527,0.862876254,0.257751938,0.816053512,0.004098361,0.789297659,0.726694915,0.831103679,0.70221328,0.906354515,0.075645756,10,9,9,10,10,9,10,10,9,9,8,0.001002105,0.999972184,0.9,0.001002032,0.999972184,0.9,0.001000147,0,0,0.153846154,0.999972184,0.866666667,0.148148148,0.999972184,0.9,0.148148148,0.999972184,0.9,0.185185185,0.999972184,0.9,0.9969372,0,0,0.333333333,0.665135267,0.001014248,0,0,0.999998409,0.972222222,6,9,6,10,8,9,9,10,9,10
111CE0569_10.11.10_1,SWAMP,111CE0569_10112010_1,111CE0569,10/11/10,10.11.10,1,33,1,74,0.871666667,59,0.871666667,Microalgae,No,Yes,600,2,Adequate,Inadequate,0,,0.16,1,0.093333333,0.956666667,0.052264808,0.92,0.632246377,0.905,0.948434622,0.305709024,0.95,0.647368421,0.871666667,0.066921606,0.896666667,0.317843866,0.888333333,0.324577861,1,0.093333333,5,8,9,6,8,5,5,8,4,4,8,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,10,10
